INFO  - 2013-12-19 10:32:04.241; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-19 10:32:04.263; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/mlp/flax/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-19 10:32:04.269; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/mlp/flax/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-19 10:32:05.309; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-19 10:32:05.347; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-19 10:32:05.362; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-19 10:32:05.362; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/mlp/flax/hackday/ukmp/solr
INFO  - 2013-12-19 10:32:05.363; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/mlp/flax/hackday/ukmp/solr/'
INFO  - 2013-12-19 10:32:05.479; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/mlp/flax/hackday/ukmp/solr/solr.xml
INFO  - 2013-12-19 10:32:05.610; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-19 10:32:05.619; org.apache.solr.core.CoreContainer; New CoreContainer 219359295
INFO  - 2013-12-19 10:32:05.620; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/home/mlp/flax/hackday/ukmp/solr/]
INFO  - 2013-12-19 10:32:05.632; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-19 10:32:05.633; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-19 10:32:05.633; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-19 10:32:05.633; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-19 10:32:05.636; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-19 10:32:05.636; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-12-19 10:32:05.636; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-12-19 10:32:05.636; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-12-19 10:32:05.637; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-12-19 10:32:05.859; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-12-19 10:32:05.860; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-12-19 10:32:05.891; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/mlp/flax/hackday/ukmp/solr
INFO  - 2013-12-19 10:32:05.906; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/mlp/flax/hackday/ukmp/solr/collection1/
INFO  - 2013-12-19 10:32:05.907; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2013-12-19 10:32:05.909; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/mlp/flax/hackday/ukmp/solr/collection1
INFO  - 2013-12-19 10:32:05.909; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/mlp/flax/hackday/ukmp/solr/collection1/'
INFO  - 2013-12-19 10:32:06.009; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2013-12-19 10:32:06.010; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/extraction/lib).
WARN  - 2013-12-19 10:32:06.010; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
WARN  - 2013-12-19 10:32:06.011; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/clustering/lib).
WARN  - 2013-12-19 10:32:06.011; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
WARN  - 2013-12-19 10:32:06.011; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/langid/lib).
WARN  - 2013-12-19 10:32:06.011; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
WARN  - 2013-12-19 10:32:06.011; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2013-12-19 10:32:06.012; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
INFO  - 2013-12-19 10:32:06.152; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-19 10:32:06.159; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_44
INFO  - 2013-12-19 10:32:06.275; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-19 10:32:06.281; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-19 10:32:06.358; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-19 10:32:06.997; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-12-19 10:32:07.075; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-19 10:32:07.084; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-19 10:32:07.238; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-19 10:32:07.245; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/mlp/flax/hackday/ukmp/solr/collection1/, dataDir=/home/mlp/flax/hackday/ukmp/solr/collection1/data/
INFO  - 2013-12-19 10:32:07.246; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-19 10:32:07.249; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-19 10:32:07.250; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
